deg_label,degraded_detections,restored_detections,degraded_confidence,restored_confidence,degraded_texts,restored_texts
dark_severe,4,2,3.549429150126139,0.3331660096099672,"['SEMANTIC', 'AWARE', 'DEEP', 'LEARNING']","['SEMMWTIC MWNVARE', '[DEHP [FEARNNNKG']"
dark_heavy,4,4,3.330106599201618,3.9856956278760753,"['SEMANTIC', 'AWARE', 'DEEP', 'LEARNING']","['SEMANTIC', 'AWARE', 'DEEP', 'LEARNING']"
dark_moderate,4,4,3.8191990078685936,3.8191990078685936,"['SEMANTIC', 'AWARE', 'DEEP', 'LEARNING']","['SEMANTIC', 'AWARE', 'DEEP', 'LEARNING']"
dark_mild,4,4,3.970039776371289,3.970039776371289,"['SEMANTIC', 'AWARE', 'DEEP', 'LEARNING']","['SEMANTIC', 'AWARE', 'DEEP', 'LEARNING']"
mblur_severe_h,0,0,0,0,[],[]
mblur_moderate_h,1,1,0.1428611032037006,0.1428611032037006,['5'],['5']
mblur_moderate_d,0,0,0,0,[],[]
mblur_mild_v,3,3,1.5716360358651782,1.5716360358651782,"['SMANIIC AwaE', 'D', 'LAVNG']","['SMANIIC AwaE', 'D', 'LAVNG']"
gblur_heavy,1,0,0.28827691909605596,0,['SemaNTIC AWARE'],[]
gblur_mild,3,0,2.694596472959378,0,"['SEMANTIC AWARE', 'DEEP', 'LEARNING']",[]
combined_dark_blur,0,3,0,0.43939731285692984,[],"['SIMANTIC AWARE', '-=', 'ZS= -']"
combined_moderate,1,0,0.19139131684216146,0,['SENANTCAWANS'],[]
dark_severe,4,4,3.3485374903717,3.629117398666553,"['GEOFENCE', 'DEEP', 'LEARNING', 'INVERSE KINEMATICS']","['GEOFENCE', 'DEEP', 'LEARNING', 'INVERSE KINEMATICS']"
dark_heavy,4,4,3.772349763055011,3.704994669077796,"['GEOFENCE', 'DEEP', 'LEARNING', 'INVERSE KINEMATICS']","['GEOFENCE', 'DEEP', 'LEARNING', 'INVERSE KINEMATICS']"
dark_moderate,4,4,3.9476732370033,3.9476732370033,"['GEOFENCE', 'DEEP', 'LEARNING', 'INVERSE KINEMATICS']","['GEOFENCE', 'DEEP', 'LEARNING', 'INVERSE KINEMATICS']"
